167|0008|0008
168|0008|0193
169|0008|0194
170|0008|0195
171|0008|0219
172|0008|0209
173|0008|0210
221|0003|0006
222|0003|0008
223|0003|0203
224|0003|0204
225|0003|0014
226|0003|0057
227|0003|0186
228|0003|0188
229|0003|0197
230|0003|0198
231|0003|0202
232|0003|0237
233|0003|0322
234|0001|0006
235|0001|0008
236|0001|0203
237|0001|0204
238|0001|0014
239|0001|0057
240|0001|0193
241|0001|0195
242|0001|0198
243|0001|0219
244|0001|0202
245|0001|0237
246|0001|0209
247|0001|0210
248|0001|0322
291|0010|0193
292|0010|0194
293|0010|0195
294|0010|0219
295|0010|0237
296|0010|0209
297|0010|0210
298|0010|0322
299|0009|0327
300|0009|0193
301|0009|0194
302|0009|0195
303|0009|0219
304|0009|0237
305|0009|0209
306|0009|0210
307|0009|0322
308|0002|0327
309|0002|0193
310|0002|0194
311|0002|0195
312|0002|0219
313|0002|0237
314|0002|0209
315|0002|0210
316|0002|0322
